summary_data,0.32815603051,-1.00759666441e-12,0.166405262338,1526340600,0.254461538462,1533600000,0.867333333333,0.00483451097062,None,0.843104064946,0.178946976114,1533598200,0.148694960645,2688.0,1344.0,0.130984658952,3.6633077887,1800,0.254456663306,0.0177103016933
x_data_observed,1526340600000,1800000,area,Observed
Observed,2018-05-16 20:00:00,0.254461538462,5.0,10.0
Observed,2018-05-16 20:30:00,0.254461538462,5.0,10.0
Observed,2018-05-16 21:00:00,0.254461538462,5.0,10.0
Observed,2018-05-16 21:30:00,0.254461538462,5.0,10.0
Observed,2018-05-16 22:00:00,0.254461538462,5.0,10.0
Observed,2018-05-16 22:30:00,0.254461538462,5.0,10.0
Observed,2018-05-16 23:00:00,0.254461538462,5.0,10.0
Observed,2018-05-16 23:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 00:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 00:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 01:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 01:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 02:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 02:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 03:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 03:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 04:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 04:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 05:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 05:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 06:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 06:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 07:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 07:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 08:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 08:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 09:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 09:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 10:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 10:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 11:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 11:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 12:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 12:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 13:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 13:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 14:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 14:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 15:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 15:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 16:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 16:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 17:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 17:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 18:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 18:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 19:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 19:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 20:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 20:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 21:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 21:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 22:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 22:30:00,0.254461538462,5.0,10.0
Observed,2018-05-17 23:00:00,0.254461538462,5.0,10.0
Observed,2018-05-17 23:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 00:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 00:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 01:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 01:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 02:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 02:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 03:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 03:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 04:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 04:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 05:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 05:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 06:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 06:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 07:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 07:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 08:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 08:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 09:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 09:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 10:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 10:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 11:00:00,0.254461538462,5.0,10.0
Observed,2018-05-18 11:30:00,0.254461538462,5.0,10.0
Observed,2018-05-18 12:00:00,0.254461538462,5.0,10.0
